Key,en,es,ar,fr
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC,Configurer KYC
SETUP WEB CONTENT,Setup Web Content,Configurar contenido web,إعداد محتوى الويب,Configurer le contenu Web
Setup Section,Setup Section,Sección de configuración,قسم الإعداد,Section de configuration
Banner Section,Banner Section,Sección de pancartas,قسم البانر,Section bannière
Banner Floting,Banner Floting,Bandera flotante,راية العائمة,Bannière flottante
About Section,About Section,Acerca de la sección,حول القسم,À propos de la section
Work Section,Work Section,Sección de Trabajo,قسم العمل,Section Travail
Service Section,Service Section,Sección de Servicio,قسم الخدمة,Section des services
FAQ Section,FAQ Section,Sección de preguntas frecuentes,قسم الأسئلة الشائعة,Section FAQ
Blog Section,Blog Section,Sección de blogs,قسم المدونة,Section Blogue
Blog Category,Blog Category,Categoría de blog,فئة المدونة,Catégorie de blog
Contact Us Section,Contact Us Section,Sección Contáctenos,قسم اتصل بنا,Section Contactez-nous
Footer Section,Footer Section,Sección de pie de página,قسم التذييل,Section de pied de page
Testimonials Section,Testimonials Section,Sección de Testimonios,قسم الشهادات,Section Témoignages
Setup Pages,Setup Pages,Páginas de configuración,صفحات الإعداد,Pages de configuration
Extensions,Extensions,Extensiones,ملحقات,Rallonges
PAYMENT METHODS,Payment Methods,Métodos de pago,طرق الدفع,méthodes de payement
Add Money,Add Money,Agregar dinero,إضافة المال,Ajouter de l'argent
Automatic,Automatic,Automático,تلقائي,Automatique
Manual,Manual,Manual,يدوي,Manuel
NOTIFICATION-UPPER,Notification,Notificación,إشعار,Notification
Push Notification,Push Notification,Notificación de inserción,دفع الإخطار,Notification push
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد,Notification de configuration
Send Notification,Send Notification,Enviar notificación,إرسال الإخطار,Envoyer une notification
BONUS,Bonus,Prima,علاوة,Prime
GDPR Cookie,GDPR Cookie,Cookie RGPD,ملف تعريف الارتباط الناتج عن اللائحة العامة لحماية البيانات,Cookie RGPD
Server Info,Server Info,Información del servidor,معلومات الخادم,Informations sur le serveur
Clear Cache,Clear Cache,Limpiar cache,مسح ذاكرة التخزين المؤقت,Vider le cache
Layout mode,Layout mode,Modo de diseño,وضع التخطيط,Mode mise en page
Topbar Color,Topbar Color,Color de la barra superior,لون الشريط العلوي,Couleur de la barre supérieure
Sidebar color,Sidebar color,Color de la barra lateral,لون الشريط الجانبي,Couleur de la barre latérale
Min Sidebar Color,Min Sidebar Color,Color mínimo de la barra lateral,الحد الأدنى للون الشريط الجانبي,Couleur minimale de la barre latérale
RTL Support,RTL Support,Soporte RTL,دعم RTL,Prise en charge RTL
Merchant Care,Merchant Care,Atención al comerciante,رعاية التاجر,Soins aux marchands
Active Merchants,Active Merchants,Comerciantes activos,التجار النشطين,Marchands actifs
Sms Unverified,Sms Unverified,SMS no verificados,لم يتم التحقق من الرسائل القصيرة,SMS non vérifié
All Merchants,All Merchants,Todos los comerciantes,جميع التجار,Tous les marchands
Email To Merchants,Email To Merchants,Correo electrónico a comerciantes,البريد الإلكتروني للتجار,Envoyer un e-mail aux commerçants
Banned Merchants,Banned Merchants,Comerciantes prohibidos,التجار المحظورون,Marchands bannis
Recipient Countries,Recipient Countries,Países receptores,الدول المتلقية,Pays bénéficiaires
Mobile Topup,Mobile TopUp,Recarga Móvil,اشحن رصيدك المحمول,Recharge mobile
Categories,Categories,Categorías,فئات,Catégories
Virtual Card Api,Virtual Card Api,API de tarjeta virtual,واجهة برمجة تطبيقات البطاقة الافتراضية,API de carte virtuelle
Setup Firebase,Setup Firebase,Configurar base de fuego,إعداد Firebase,Configurer Firebase
Home,Home,Hogar,بيت,Maison
About,About,Acerca de,عن,À propos
FAQ,FAQ,Preguntas más frecuentes,التعليمات,FAQ
Web Journal,Web Journal,Diario Web,مجلة الويب,Journal Web
Merchant,Merchant,Comerciante,تاجر,Marchand
Service,Service,Servicio,خدمة,Service
Contact,Contact,Contacto,اتصال,Contact
Download App,Download App,Descargar aplicación,تحميل التطبيق,Télécharger l'application
Dashboard,Dashboard,Panel,لوحة القيادة,Tableau de bord
Register,Register,Registro,يسجل,Registre
Login,Login,Acceso,تسجيل الدخول,Se connecter
Usefull Links,Usefull Links,Enlaces útiles,روابط مفيدة,Liens utiles
Newsletter,Newsletter,Boletin informativo,النشرة الإخبارية,Bulletin
Top,Top,Arriba,قمة,Haut
Login Information,Login Information,Información Entrar,معلومات تسجيل الدخول,Informations de connexion
Please input your phone number and password and login to your account to get access to your dashboard.,Please input your phone number and password and login to your account to get access to your dashboard.,Ingrese su número de teléfono y contraseña e inicie sesión en su cuenta para obtener acceso a su panel de control.,يرجى إدخال رقم هاتفك وكلمة المرور وتسجيل الدخول إلى حسابك لتتمكن من الوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir votre numéro de téléphone et votre mot de passe et vous connecter à votre compte pour accéder à votre tableau de bord.
Don't Have An Account?,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟,Vous n'avez pas de compte ?
Register Information,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟,Vous n'avez pas de compte ?
Please input your details and register to your account to get access to your dashboard.,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su panel de control.,يرجى إدخال التفاصيل الخاصة بك والتسجيل في حسابك للوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir vos coordonnées et vous inscrire à votre compte pour accéder à votre tableau de bord.
Terms Of Use & Privacy Policy,Terms Of Use & Privacy Policy,Términos de uso y política de privacidad,شروط الاستخدام وسياسة الخصوصية,Conditions d'utilisation et politique de confidentialité
I have agreed with,I have agreed with,he estado de acuerdo con,لقد اتفقت مع,je suis d'accord avec
Transitional account,Transitional account,he estado de acuerdo con,لقد اتفقت مع,Compte de transition
Continue,Continue,Continuar,يكمل,Continuer
Login Now,Login Now,Inicia sesión ahora,تسجيل الدخول الآن,Connecte-toi maintenant
KYC Form,KYC Form,Formulario KYC,نموذج اعرف عميلك (KYC).,Formulaire KYC
Please input all the fild for login to your account to get access to your dashboard.,Please input all the fild for login to your account to get access to your dashboard.,Ingrese todos los campos para iniciar sesión en su cuenta y obtener acceso a su panel de control.,يرجى إدخال كافة الحقول لتسجيل الدخول إلى حسابك للوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir tous les champs pour vous connecter à votre compte afin d'accéder à votre tableau de bord.
Please input your mobile number and get verify code  for recovering your account.,Please input your mobile number and get verify code  for recovering your account.,Ingrese su número de teléfono móvil y obtenga el código de verificación para recuperar su cuenta.,يرجى إدخال رقم هاتفك المحمول والحصول على رمز التحقق لاسترداد حسابك.,Veuillez saisir votre numéro de mobile et obtenir le code de vérification pour récupérer votre compte.
Register Now,Register Now,Regístrate ahora,سجل الان,S'inscrire maintenant
Please enter the code,Please enter the code,Por favor ingresa el código,الرجاء إدخال الرمز,Veuillez entrer le code
We sent a 6 digit code here,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí.,لقد أرسلنا رمزًا مكونًا من 6 أرقام هنا,Nous avons envoyé un code à 6 chiffres ici
You can resend the code after,You can resend the code after,Puedes reenviar el código después,يمكنك إعادة إرسال الرمز بعد ذلك,Vous pouvez renvoyer le code après
Please enter your authorization code to access dashboard,Please enter your authorization code to access dashboard,Ingrese su código de autorización para acceder al panel,الرجاء إدخال رمز التفويض الخاص بك للوصول إلى لوحة التحكم,Veuillez entrer votre code d'autorisation pour accéder au tableau de bord
Two Factor Authorization,Two Factor Authorization,Autorización de dos factores,إذن عاملين,Autorisation à deux facteurs
Back to Login,Back to Login,Atrás para iniciar sesión,العودة إلى تسجيل الدخول,Retour connexion
Authorize,Authorize,Autorizar,يأذن,Autoriser
KYC Verification,KYC Verification,Verificación KYC,التحقق من KYC,Vérification KYC
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información KYC con datos válidos.,يرجى تقديم معلومات KYC الخاصة بك مع بيانات صالحة.,Veuillez soumettre vos informations KYC avec des données valides.
Account Authorization,Account Authorization,Autorización de cuenta,ترخيص الحساب,Autorisation de compte
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,Necesita verificar su cuenta. Por favor revise su bandeja de entrada de correo para obtener el código de autorización.,تحتاج إلى التحقق من حسابك. يرجى التحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التفويض,Besoin de vérifier votre compte. Veuillez vérifier votre boîte de réception pour obtenir le code d'autorisation
Verify,Verify,Verificar,يؤكد,Vérifier
Submit,Submit,Entregar,يُقدِّم,Soumettre
Send Money,Send Money,Enviar dinero,إرسال الأموال,Envoyer de l'argent
Receive Money,Receive Money,Recibir dinero,إستلم نقود,Recevoir de l'argent
Remittance,Remittance,Remesa,التحويلات,Remise
Make Payment,Make Payment,Hacer el pago,قم بالدفع,Effectuer le paiement
Mobile ToUp,Mobile ToUp,Recarga móvil,موبايل توب,Vers mobile
Transaction,Transaction,Transacción,عملية,Transaction
Seved Recipient,Seved Recipient,Destinatario servido,سيفيد المتلقي,Destinataire séparé
2FA Security,2FA Security,Seguridad 2FA,2FA الأمن,Sécurité 2FA
Get Support,Get Support,Obtener apoyo,احصل على الدعم,Obtenir de l'aide
Notification,Notification,Notificación,إشعار,Notification
Cancel,Cancel,Cancelar,يلغي,Annuler
Optional,Optional,Opcional,خياري,Facultatif
Add Money Preview,Add Money Preview,Agregar vista previa de dinero,إضافة معاينة المال,Ajouter un aperçu de l'argent
Entered Amount,Entered Amount,Monto ingresado,المبلغ المدخل,Montant saisi
Total Fees & Charges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والمصاريف,Total des frais et charges
Will Get,Will Get,Obtendrá,سوف تحصل,Aura
Total Payable Amount,Total Payable Amount,Monto total a pagar,إجمالي المبلغ المستحق,Montant total à payer
Available Balance,Available Balance,Saldo disponible,الرصيد المتوفر,Solde disponible
Bill Pay Form,Bill Pay Form,Formulario de pago de facturas,نموذج دفع الفاتورة,Formulaire de paiement de facture
Bill Pay,Bill Pay,Pago de facturas,دفع الفاتورة,Payement de facture
Bill Number,Bill Number,Número de factura,رقم الفاتوره,Numéro de facture
Amount,Amount,Cantidad,كمية,Montant
Total Charge,Total Charge,Carga total,القيمة الاجمالية,Charge totale
Total Payable,Total Payable,Total a pagar,مجموع المستحق الدفع,Total à payer
View More,View More,Ver más,عرض المزيد,Voir plus
Mobile Number,Mobile Number,Número de teléfono móvil,رقم الهاتف المحمول,Numéro de portable
Confirm Payment,Confirm Payment,Confirmar pago,تأكيد الدفع,Confirmer le paiement
Total Fees,Total Fees,Tarifas totales,الرسوم الكلية,Total des frais
Recipient Received,Recipient Received,Destinatario recibido,تم استلام المستلم,Destinataire reçu
Make Payment Log,Make Payment Logs,Realizar registros de pago,إنشاء سجلات الدفع,Créer des journaux de paiement
Bill Pay Log,Bill Pay Log,Registro de pago de facturas,سجل دفع الفاتورة,Journal de paiement des factures
Recharge,Recharge,Recargar,تعبئة رصيد,Recharger
Recharge Now,Recharge Now,Recargar ahora,اشحن الآن,Recharger maintenant
TopUp Type,TopUp Type,Tipo de recarga,نوع اشحن رصيدك,Type de recharge
Preview,Preview,Avance,معاينة,Aperçu
Mobile Topup Log,Mobile Topup Log,Registro de recarga móvil,سجل تعبئة رصيد الهاتف المحمول,Journal de recharge mobile
Money Out,Money Out,Salida de dinero,لم يبقى اي من المال,Plus d'argent
Conversion Amount,Conversion Amount,Monto de conversión,مبلغ التحويل,Montant de conversion
Money Out Information,Money Out Information,Información sobre retiro de dinero,معلومات صرف الأموال,Informations sur les retraits d'argent
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف,Taux de change
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي,Paramètres de profil
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور,Changer le mot de passe
Change,Change,Cambiar,يتغير,Changement
Add Receipient,Add Receipient,Agregar destinatario,إضافة المستلم,Ajouter un destinataire
Transaction Type,Transaction Type,tipo de transacción,نوع المعاملة,Type de transaction
No Recipient Found!,No Recipient Found!,¡No se encontró ningún destinatario!,لم يتم العثور على مستلم!,Aucun destinataire trouvé !
Money Receive,Money Receive,Recibir dinero,تلقي الأموال,Argent reçu
Share Qr Code,Share Qr Code,Compartir código QR,مشاركة رمز الاستجابة السريعة,Partager le code QR
Share,Share,Compartir,يشارك,Partager
Form,Form,Forma,استمارة,Formulaire
Add,Add,Agregar,يضيف,Ajouter
Send Now,Send Now,Enviar ahora,ارسل الان,Envoyer maintenant
Receiving Country,Receiving Country,País receptor,البلد المتلقي,Pays d'accueil
Receipient,Receipient,Destinatario,المستلم,Destinataire
Transfer Fee,Transfer Fee,Tarifa de transferencia,رسوم التحويل,Frais de transfert
Receipient Get,Receipient Get,Obtener destinatario,الحصول على المتلقي,Destinataire Obtenir
Remittance Log,Remittance Log,Registro de remesas,سجل التحويلات,Journal des remises
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,عامل المصادقة الثنائية,Authentificateur à deux facteurs
Disable,Disable,Desactivar,إبطال,Désactiver
Enable,Enable,Permitir,يُمكَِن,Activer
Confirm Send,Confirm Send,Confirmar envío,تأكيد الإرسال,Confirmer l'envoi
Send Money Preview,Send Money Preview,Enviar dinero vista previa,إرسال معاينة الأموال,Aperçu de l'envoi d'argent
Send Money Log,Send Money Log,Enviar registro de dinero,إرسال سجل الأموال,Journal d'envoi d'argent
Add New Ticket,Add New Ticket,Agregar nuevo boleto,إضافة تذكرة جديدة,Ajouter un nouveau billet
Add New,Add New,Agregar nuevo,اضف جديد,Ajouter un nouveau
Ticket ID,Ticket ID,Identificación de entradas,معرف التذكرة,ID de billets
Full Name,Full Name,Nombre completo,الاسم الكامل,Nom et prénom
Email,Email,Correo electrónico,بريد إلكتروني,E-mail
Subject,Subject,Sujeto,موضوع,Sujet
Status,Status,Estado,حالة,Statut
Last Replied,Last Replied,Última respuesta,آخر رد,Dernière réponse
Details,Details,Detalles,تفاصيل,Détails
Add Balance via,Add Balance via,Agregar saldo a través de,إضافة رصيد عبر,Ajouter un solde via
Virtual Card,Virtual Card,Tarjeta virtual,بطاقة افتراضية,Carte virtuelle
Exchange Money,Exchange Money,Cambio de moneda,الصرافة,Monnaie d'échange
Balance Update From Admin,Balance Update From Admin,Actualización de saldo desde el administrador,تحديث الرصيد من المشرف,Mise à jour du solde depuis l'administrateur
Current Balance,Current Balance,Saldo actual,الرصيد الحالي,Solde actuel
Card Type,Card Type,Tipo de tarjeta,نوع البطاقة,Type de carte
Total Bill Pay,Total Bill Pay,Pago total de facturas,إجمالي دفع الفاتورة,Paiement total de la facture
Total Mobile TopUp,Total Mobile TopUp,Recarga Total Móvil,إجمالي رصيد الهاتف المحمول,Recharge mobile totale
Total Buy Gift Card,Total Buy Gift Card,Tarjeta de regalo de compra total,إجمالي شراء بطاقة الهدايا,Carte-cadeau d'achat total
Total Transaction,Total Transaction,Transacción total,إجمالي المعاملة,Transaction totale
Latest Transactions,Latest Transactions,Últimas transacciones,أحدث المعاملات,Dernières transactions
Log in and Stay Connected,Log in and Stay Connected,Inicie sesión y manténgase conectado,تسجيل الدخول والبقاء على اتصال,Connectez-vous et restez connecté
Register for an Account Today,Register for an Account Today,Regístrese para obtener una cuenta hoy,سجل للحصول على حساب اليوم,Créez un compte aujourd'hui
Reset Your Forgotten Password,Reset Your Forgotten Password,Restablecer su contraseña olvidada,إعادة تعيين كلمة المرور المنسية,Réinitialisez votre mot de passe oublié
Developer,Developer,Desarrollador,مطور,Développeur
please Fill Out The Field,Please Fill Out The Field,Por favor complete el campo,يرجى ملء الحقل,Veuillez remplir le champ
sign In,Sign In,Iniciar sesión,تسجيل الدخول,Se connecter
rich Signin,Sign In,Iniciar sesión,تسجيل الدخول,Se connecter
sign Up,Sign Up,Inscribirse,اشتراك,S'inscrire
rich Sign Up,Sign Up,Inscribirse,اشتراك,S'inscrire
welcome Back,Welcome Back,Bienvenido de nuevo,مرحبًا بعودتك,Content de te revoir
country,Country,País,دولة,Pays
billing Information,Billing Information,Información de facturación,معلومات الفواتير,Informations de facturation
top Up Information,Top UP Information,Información de recarga,أعلى المعلومات,Informations complémentaires
use Secure Instant MOney,Use Secure & Instant Money Transfer App Now,Utilice la aplicación de transferencia de dinero instantánea y segura ahora,استخدم تطبيق تحويل الأموال الآمن والفوري الآن,Utilisez l'application de transfert d'argent sécurisé et instantané maintenant
user Name Or Email Address,Username Or Email Address,Nombre de usuario o dirección de correo electrónico,اسم المستخدم أو البريد الالكتروني,Nom d'utilisateur ou adresse e-mail
password,Password,Contraseña,كلمة المرور,Mot de passe
get Started,Get Started,Empezar,البدء,Commencer
use App For Instant,app for instant money transfer. Scan or Place this QRcode for receiving money in your wallet. Share this QR for instant money receiving.,Aplicación para transferencia de dinero instantánea. Escanee o coloque este código QR para recibir dinero en su billetera. Comparte este QR para recibir dinero al instante.,تطبيق لتحويل الأموال بشكل فوري. قم بمسح رمز QRcode هذا أو وضعه لتلقي الأموال في محفظتك. شارك هذا QR لتلقي الأموال الفورية.,application pour le transfert d'argent instantané. Scannez ou placez ce QRcode pour recevoir de l'argent dans votre portefeuille. Partagez ce QR pour recevoir de l'argent instantanément.
email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,Adresse e-mail
enter The OTPCode Send To,We sent a 6-digit code to your email,Le enviamos un código de 6 dígitos a su correo electrónico,لقد أرسلنا رمزًا مكونًا من 6 أرقام إلى بريدك الإلكتروني,Nous avons envoyé un code à 6 chiffres à votre email
enter The Google Auth OTPCode,Enter OTP Code From Google Authenticator,Ingrese el código OTP del Autenticador de Google,أدخل رمز OTP من Google Authenticator,Entrez le code OTP de Google Authenticator
verified Code,Verified Code,Código verificado,رمز التحقق,Code vérifié
at Andt,AT&T,AT&T,ايه تي اند تي,AT&T
phone Number,Phone Number,Número de teléfono,رقم التليفون,Numéro de téléphone
o TPVerification,Otp Verification,Verificación OTP,التحقق من OTP,Vérification OTP
email Verification,Email Verification,verificacion de email,تأكيد بواسطة البريد الالكتروني,vérification de l'E-mail
resend,Resend,Reenviar,إعادة إرسال,Renvoyer
xxx,xxx xxxx xxx,xxx xxxx xxx,xxx xxx xxx,xxx xxxx xxx
pay And Go,PAY AND GO,PAGA Y VAYA,ادفع وانطلق,PAYER ET PARTIR
the Codeis Not Valid,The code is not valid,El código no es válido.,الرمز غير صالح,Le code n'est pas valide
number,1684,1684,1684,1684
number Plus1684,+1684 632 5468 783,+1684 632 5468 783,+1684 632 5468 783,+1684 632 5468 783
skip,Skip,Saltar,يتخطى,Sauter
next,Next,Próximo,التالي,Suivant
enter Password,Enter password,Introducir la contraseña,أدخل كلمة المرور,Entrer le mot de passe
app Not Available,App Not Available,Aplicación no disponible,التطبيق غير متوفر,Application non disponible
permission Denied,Permission Denied,Permiso denegado,تم رفض الإذن,Permission refusée
app Not Available Sub Title,is suddenly not available in the current region/country.,De repente no está disponible en la región/país actual.,أصبح فجأة غير متوفر في المنطقة/البلد الحالي.,n'est soudainement plus disponible dans la région/le pays actuel.
please Enter Your Register,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios.,السيطرة على حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. ترشدك صفحة استعادة كلمة المرور الخاصة بنا خلال الخطوات اللازمة.,Prenez le contrôle de votre compte en réinitialisant votre mot de passe. Notre page de récupération de mot de passe vous guide à travers les étapes nécessaires.
continues,continues,continúa,متواصل,continue
continuee,Continue,Continuar,يكمل,Continuer
usd100,100.00 USD,"100,00 USD",100.00 دولار أمريكي,"100,00 USD"
total Price,Total Price,Precio total,السعر الكلي,Prix ​​total
drop Your File,Drop your file,Deja tu archivo,قم بإسقاط الملف الخاص بك,Déposez votre fichier
have Account,Have An Account?,¿Tener una cuenta?,هل لديك حساب؟,Avoir un compte?
sign In Information,Log in and Stay Connected,Inicie sesión y manténgase conectado,تسجيل الدخول والبقاء على اتصال,Connectez-vous et restez connecté
sign Up Information,Register an Account Today,Registre una cuenta hoy,قم بتسجيل حساب اليوم,Créez un compte aujourd'hui
agree,Please agree with term and condition,Por favor acepte los términos y condiciones.,يرجى الموافقة على المصطلح والشرط,Veuillez accepter les termes et conditions
sign In Information Subtitle,"Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.","Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de su información. Inicie sesión hoy y manténgase conectado con sus finanzas, en cualquier momento y en cualquier lugar.",تضمن عملية تسجيل الدخول الآمنة لدينا سرية معلوماتك. قم بتسجيل الدخول اليوم وابق على اتصال بأموالك في أي وقت وفي أي مكان.,"Notre processus de connexion sécurisé garantit la confidentialité de vos informations. Connectez-vous aujourd'hui et restez connecté à vos finances, à tout moment et en tout lieu."
sign Up Details,Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs.,Conviértase en parte de nuestra comunidad registrándose para obtener una cuenta hoy. Disfrute de una variedad de beneficios y características diseñadas para satisfacer sus necesidades.,كن جزءًا من مجتمعنا من خلال التسجيل للحصول على حساب اليوم. استمتع بمجموعة من المزايا والميزات المصممة خصيصًا لتلبية احتياجاتك.,Devenez membre de notre communauté en créant un compte dès aujourd'hui. Bénéficiez d’une gamme d’avantages et de fonctionnalités adaptés à vos besoins.
verification Code,Verification Code,Código de verificación,رمز التحقق,Le code de vérification
enter Your Verification Code,"Enter the verification code which one we send you in your email, to verified your account.","Ingresa el código de verificación que te enviamos a tu correo electrónico, para verificar tu cuenta.",أدخل رمز التحقق الذي أرسلناه إليك في بريدك الإلكتروني للتحقق من حسابك.,"Entrez le code de vérification que nous vous envoyons dans votre e-mail, pour vérifier votre compte."
resend Code,Resend Code,Reenviar codigo,أعد إرسال الرمز,Renvoyer le code
k YCForm,KYC Form,Formulario KYC,نموذج اعرف عميلك (KYC).,Formulaire KYC
k YCForm Details,Please input all the field for sign in to your account to get access to your dashboard.,Ingrese todos los campos para iniciar sesión en su cuenta y obtener acceso a su panel de control.,يرجى إدخال كافة الحقول لتسجيل الدخول إلى حسابك لتتمكن من الوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir tous les champs pour vous connecter à votre compte afin d'accéder à votre tableau de bord.
first Name,First Name,Nombre de pila,الاسم الأول,Prénom
last Name,Last Name,Apellido,اسم العائلة,Nom de famille
enter First Name,Enter First Name,Introduzca el nombre,أدخل الاسم الأول,Entrez votre prénom
enter Last Name,Enter Last Name,Introduzca el apellido,إدخال اسم آخر,Entrer le nom de famille
enter Email Address,Enter Email Address,Introducir la dirección de correo electrónico,أدخل عنوان البريد الالكتروني,Entrer l'adresse e-mail
select Country,Select Country,Seleccionar país,حدد الدولة,Choisissez le pays
select City,Select City,Ciudad selecta,اختر مدينة,Sélectionnez une ville
enter City,Enter City,Ingrese la ciudad,أدخل المدينة,Entrez la ville
zip Code,Zip Code,Código postal,الرمز البريدي,Code postal
enter Zip Code,Enter Zip Code,Ingresa tu código postal,أدخل الرمز البريدي,Entrer le code postal
front Part,Front Part,Parte delantera,الجزء الامامي,Partie avant
back Part,Back Part,Parte de atrás,الجزء الخلفي,Partie arrière
upload Passport,Upload Passport / NID / Driving Lic. etc doc for verification,Subir Pasaporte / NID / Licencia de Conducir. etc doc para verificación,تحميل جواز السفر / NID / رخصة القيادة. الخ وثيقة للتحقق,Téléchargez votre passeport / NID / Permis de conduire. etc doc pour vérification
confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور,Confirmez le mot de passe
enter Confirm Password,Enter Confirm Password,Ingrese Confirmar Contraseña,أدخل تأكيد كلمة المرور,Entrez Confirmer le mot de passe
by Using,you agree to our,estás de acuerdo con nuestro,أنت توافق على لدينا,vous acceptez notre
